t_start,t_end,residual,err,iter_mean,iter_range,iter_max_index,iter_min_index,iter_std,iter_var,time_to_solution
0.0,0.0625,4.560009678010112e-10,1.5180000778067168e-06,5.0,0,0,0,0.0,0.0,0.22888848000002326
0.0625,0.125,1.5174468015435255e-10,1.4965320407303173e-06,5.0,0,0,0,0.0,0.0,0.23280573900410673
0.125,0.1875,2.3250691516363382e-10,1.5002517365205309e-06,5.0,0,0,0,0.0,0.0,0.2604295179990004
0.1875,0.25,3.1243489378808793e-10,1.5064527450902737e-06,5.0,0,0,0,0.0,0.0,0.24428824399365112
0.25,0.3125,3.9114056510834974e-10,1.5158616799605735e-06,5.0,0,0,0,0.0,0.0,0.24457664700457826
0.3125,0.375,4.683189032070894e-10,1.5288171033814024e-06,5.0,0,0,0,0.0,0.0,0.23918942799355136
0.375,0.4375,5.436684616002052e-10,1.545793800583293e-06,5.0,0,0,0,0.0,0.0,0.24765962499805028
0.4375,0.5,6.168950021943387e-10,1.5674310631481987e-06,5.0,0,0,0,0.0,0.0,0.24279658799787285
0.5,0.5625,6.877125836166283e-10,1.5945762718597015e-06,5.0,0,0,0,0.0,0.0,0.23997372599842492
0.5625,0.625,7.558446613101637e-10,1.62834847696561e-06,5.0,0,0,0,0.0,0.0,0.2257628930019564
0.625,0.6875,8.210251805148532e-10,1.670231869577757e-06,5.0,0,0,0,0.0,0.0,0.2395632160041714
0.6875,0.75,8.82999615723585e-10,1.7222136668983077e-06,5.0,0,0,0,0.0,0.0,0.26198979999753647
0.75,0.8125,9.415259564324465e-10,1.786990908128953e-06,5.0,0,0,0,0.0,0.0,0.22696941100002732
0.8125,0.875,9.963756581825948e-10,1.8682886405369575e-06,5.0,0,0,0,0.0,0.0,0.2319042920062202
0.875,0.9375,1.0473345333128173e-09,1.9713654329232907e-06,5.0,0,0,0,0.0,0.0,0.250687496001774
0.9375,1.0,1.0942035898551545e-09,2.10384866505085e-06,5.0,0,0,0,0.0,0.0,0.2738332459994126
