timesteps,final_residual,final_error
4,3.535408990664743e-08,3.8038947983031007e-06
8,1.608354368192578e-09,2.2673563387078467e-06
16,7.303516814430898e-11,1.4973407554620596e-06
32,3.2054523216506047e-12,1.4966311992873997e-06
64,8.92602698886044e-14,1.4966278024237486e-06
128,1.9883643053834407e-15,1.4966280955765045e-06
256,5.018978739257569e-17,1.496628128829965e-06
512,1.9054965823981915e-16,1.4966281339773946e-06
