t_start,t_end,residual,err,iter_mean,iter_range,iter_max_index,iter_min_index,iter_std,iter_var,time_to_solution
0.0,0.0625,0.002038825958408662,7.609177418399455e-14,1.0,0,0,0,0.0,0.0,0.014204058999894187
0.0625,0.125,0.0020388259584089453,1.1613570263248007e-13,1.0,0,0,0,0.0,0.0,0.01117313299982925
0.125,0.1875,0.0020388259584091005,1.3816890692177088e-13,1.0,0,0,0,0.0,0.0,0.01011573799951293
0.1875,0.25,0.0020388259584092055,1.5054695494416753e-13,1.0,0,0,0,0.0,0.0,0.009642191998864291
0.25,0.3125,0.002038825958409261,1.576544064310111e-13,1.0,0,0,0,0.0,0.0,0.009668844999396242
0.3125,0.375,0.0020388259584093057,1.6176653718579617e-13,1.0,0,0,0,0.0,0.0,0.010210581000137608
0.375,0.4375,0.0020388259584093313,1.643847705326433e-13,1.0,0,0,0,0.0,0.0,0.0095179330000974
0.4375,0.5,0.0020388259584093846,1.6606171608930602e-13,1.0,0,0,0,0.0,0.0,0.00960883100015053
0.5,0.5625,0.002038825958409396,1.672574343598252e-13,1.0,0,0,0,0.0,0.0,0.009987092000301345
0.5625,0.625,0.0020388259584094297,1.6812110030093297e-13,1.0,0,0,0,0.0,0.0,0.010614439999699243
0.625,0.6875,0.002038825958409478,1.688259379981246e-13,1.0,0,0,0,0.0,0.0,0.009549807000439614
0.6875,0.75,0.002038825958409488,1.6947523313999398e-13,1.0,0,0,0,0.0,0.0,0.00948041599986027
0.75,0.8125,0.0020388259584095186,1.698534046482198e-13,1.0,0,0,0,0.0,0.0,0.010414438998850528
0.8125,0.875,0.0020388259584095715,1.7041184731537874e-13,1.0,0,0,0,0.0,0.0,0.010017803000664571
0.875,0.9375,0.002038825958409562,1.709340380224352e-13,1.0,0,0,0,0.0,0.0,0.009757257001183461
0.9375,1.0,0.002038825958409604,1.713838111838332e-13,1.0,0,0,0,0.0,0.0,0.009657184999014135
