timesteps,final_residual,final_error
4,1.1331544210936773e-06,0.0007062718564617215
8,2.0826888589524437e-07,0.0001955529946555699
16,2.3072308664286163e-08,3.7899162615231337e-05
32,1.4248159194871109e-09,4.79351393071772e-06
64,5.246000086715399e-11,1.541868749018444e-06
128,1.3359169624707864e-12,1.4968444000883078e-06
256,2.7154911116308903e-14,1.496628054401386e-06
512,5.010363736221366e-16,1.4966279542162576e-06
