t_start,t_end,residual,err,iter_mean,iter_range,iter_max_index,iter_min_index,iter_std,iter_var,time_to_solution
0.0,0.015625,3.087071085535737e-16,1.658693805026895e-16,0.0,0,0,0,0.0,0.0,0.019809599998552585
0.015625,0.03125,3.066547310188788e-16,1.3584040256975043e-13,0.0,0,0,0,0.0,0.0,0.02957019899986335
0.03125,0.046875,2.425142027880494e-16,7.830892687201907e-12,0.0,0,0,0,0.0,0.0,0.015082699999766191
0.046875,0.0625,2.2726543170423877e-15,1.3905920676408023e-10,0.0,0,0,0,0.0,0.0,0.02517959999931918
0.0625,0.078125,2.0950579116196136e-14,1.2950899289886332e-09,0.0,0,0,0,0.0,0.0,0.03283539999938512
0.078125,0.09375,1.2155072407374506e-13,8.018850656851668e-09,0.0,0,0,0,0.0,0.0,0.014398799999980838
0.09375,0.109375,5.30210300940743e-13,3.746095089495776e-08,0.0,0,0,0,0.0,0.0,0.012495399998442736
0.109375,0.125,2.2633351065333464e-13,4.5829244795098096e-10,1.0,0,0,0,0.0,0.0,0.13217399999848567
0.125,0.140625,8.355593897703433e-14,2.436338846721732e-10,1.0,0,0,0,0.0,0.0,0.08485479899900383
0.140625,0.15625,1.547584999318565e-13,2.0289591367559985e-10,1.0,0,0,0,0.0,0.0,0.08738209999864921
0.15625,0.171875,3.0401382885322057e-13,3.8150838853647753e-10,1.0,0,0,0,0.0,0.0,0.14465129900054308
0.171875,0.1875,5.693120672128396e-13,7.733735885040575e-10,1.0,0,0,0,0.0,0.0,0.10751990000062506
0.1875,0.203125,2.5271549230242063e-13,3.0972833942519096e-09,2.0,0,0,0,0.0,0.0,0.14502259900109493
0.203125,0.21875,4.1527667361497696e-13,5.373743772204712e-09,2.0,0,0,0,0.0,0.0,0.1872639990015159
0.21875,0.234375,6.813560522704173e-13,8.893379303596607e-09,2.0,0,0,0,0.0,0.0,0.1473574000010558
0.234375,0.25,2.7593343203382045e-13,1.5898011431079685e-08,3.0,0,0,0,0.0,0.0,0.24667479900017497
0.25,0.265625,4.2142894092234275e-13,2.4514780597362876e-08,3.0,0,0,0,0.0,0.0,0.2142476999997598
0.265625,0.28125,6.340770200269153e-13,3.682001024907232e-08,3.0,0,0,0,0.0,0.0,0.2274680549999175
0.28125,0.296875,9.32487683103693e-13,5.391302799222715e-08,3.0,0,0,0,0.0,0.0,0.22990065399972082
0.296875,0.3125,3.453781548532652e-13,7.919306300325167e-08,4.0,0,0,0,0.0,0.0,0.3759652249991632
0.3125,0.328125,4.874322946737619e-13,1.1083955099158726e-07,4.0,0,0,0,0.0,0.0,0.5633811880015855
0.328125,0.34375,6.787127528313554e-13,1.5221556870308207e-07,4.0,0,0,0,0.0,0.0,0.4477717110003141
0.34375,0.359375,9.309307242296238e-13,2.0540389039920883e-07,4.0,0,0,0,0.0,0.0,0.4412846119994356
0.359375,0.375,3.250540896061687e-13,2.747283160897156e-07,5.0,0,0,0,0.0,0.0,0.4597924090012384
0.375,0.390625,4.339769248564642e-13,3.60189885055158e-07,5.0,0,0,0,0.0,0.0,0.37658032500075933
0.390625,0.40625,5.732343603094648e-13,4.666177291541112e-07,5.0,0,0,0,0.0,0.0,0.36113512799965974
0.40625,0.421875,7.491444352840471e-13,5.974950004853766e-07,5.0,0,0,0,0.0,0.0,0.3480691310014663
0.421875,0.4375,9.69415823892241e-13,7.563479337773378e-07,5.0,0,0,0,0.0,0.0,0.3625104279999505
0.4375,0.453125,3.21714135919338e-13,9.479764506329447e-07,6.0,0,0,0,0.0,0.0,0.4697571069991682
0.453125,0.46875,4.0891852179574797e-13,1.172855454520319e-06,6.0,0,0,0,0.0,0.0,0.4048260189993016
0.46875,0.484375,5.157587595103103e-13,1.435116220089054e-06,6.0,0,0,0,0.0,0.0,0.5156066979998286
0.484375,0.5,6.456805896481809e-13,1.7372182035146165e-06,6.0,0,0,0,0.0,0.0,0.40491001900045376
0.5,0.515625,8.026888397332892e-13,2.081286756502657e-06,6.0,0,0,0,0.0,0.0,0.3905400229996303
0.515625,0.53125,9.913507386154258e-13,2.468897944975871e-06,6.0,0,0,0,0.0,0.0,0.527652794999085
0.53125,0.546875,3.156000637246787e-13,2.901958335487639e-06,7.0,0,0,0,0.0,0.0,0.5467004550009733
0.546875,0.5625,3.850960495347231e-13,3.3786888404034457e-06,7.0,0,0,0,0.0,0.0,0.5720510910014127
0.5625,0.578125,4.673497078481326e-13,3.89939149161074e-06,7.0,0,0,0,0.0,0.0,0.4723307750009553
0.578125,0.59375,5.642216643765415e-13,4.462583611410124e-06,7.0,0,0,0,0.0,0.0,0.5140337820012064
0.59375,0.609375,6.778141911692783e-13,5.066112380189634e-06,7.0,0,0,0,0.0,0.0,0.5041420800007472
0.609375,0.625,8.104710821474573e-13,5.7071658681241924e-06,7.0,0,0,0,0.0,0.0,0.6410002020002139
0.625,0.640625,9.647798267480131e-13,6.382373645957578e-06,7.0,0,0,0,0.0,0.0,0.5210789829998248
0.640625,0.65625,2.9711453973732835e-13,7.088386863286154e-06,8.0,0,0,0,0.0,0.0,0.5762260909996257
0.65625,0.671875,3.5076639704819646e-13,7.820144644455452e-06,8.0,0,0,0,0.0,0.0,0.49941327899978205
0.671875,0.6875,4.1251782466857083e-13,8.573792493159301e-06,8.0,0,0,0,0.0,0.0,0.8019091280002613
0.6875,0.703125,4.833702316435921e-13,9.344905358132475e-06,8.0,0,0,0,0.0,0.0,0.9590058520007005
0.703125,0.71875,5.643966295944377e-13,1.012910924402402e-05,8.0,0,0,0,0.0,0.0,0.730352116001086
0.71875,0.734375,6.568122607207418e-13,1.0922143023413625e-05,8.0,0,0,0,0.0,0.0,0.6192663709989574
0.734375,0.75,7.618971836845699e-13,1.1719931121644576e-05,8.0,0,0,0,0.0,0.0,0.5572537620009825
0.75,0.765625,8.810764119913873e-13,1.2518632390194238e-05,8.0,0,0,0,0.0,0.0,0.6178200590002234
0.765625,0.78125,2.642878668855155e-13,1.3314787697691143e-05,9.0,0,0,0,0.0,0.0,1.1624332219998905
0.78125,0.796875,3.0386582248060986e-13,1.4104830126380648e-05,9.0,0,0,0,0.0,0.0,1.1061622249999346
0.796875,0.8125,3.4840946326461273e-13,1.4885809714909548e-05,9.0,0,0,0,0.0,0.0,0.9686993339983019
0.8125,0.828125,3.9843952607345995e-13,1.5654842054846365e-05,9.0,0,0,0,0.0,0.0,1.1353852240008564
0.828125,0.84375,4.545119138177086e-13,1.6409183499678392e-05,9.0,0,0,0,0.0,0.0,0.8477388430001156
0.84375,0.859375,5.172152068253279e-13,1.714615324648405e-05,9.0,0,0,0,0.0,0.0,0.9445864589997655
0.859375,0.875,5.871801583909821e-13,1.7863055662582936e-05,9.0,0,0,0,0.0,0.0,0.6343948919984541
0.875,0.890625,6.651106830311943e-13,1.8557104037740247e-05,9.0,0,0,0,0.0,0.0,0.6507895920003648
0.890625,0.90625,7.517562768289963e-13,1.9225354795321885e-05,9.0,0,0,0,0.0,0.0,0.6351983919994382
0.90625,0.921875,8.478849307533745e-13,1.9864660498395613e-05,9.0,0,0,0,0.0,0.0,0.5521168939994823
0.921875,0.9375,9.543728860992247e-13,2.0471649284330054e-05,9.0,0,0,0,0.0,0.0,0.5421619940007076
0.9375,0.953125,2.7924946479838186e-13,2.1042754987784038e-05,10.0,0,0,0,0.0,0.0,0.7375020910003514
0.953125,0.96875,3.1310864289273593e-13,2.157419137926654e-05,10.0,0,0,0,0.0,0.0,0.9130840890011314
0.96875,0.984375,3.5042406234493116e-13,2.2062147783481172e-05,10.0,0,0,0,0.0,0.0,0.7043822919986269
0.984375,1.0,3.914851358560201e-13,2.2502830228662358e-05,10.0,0,0,0,0.0,0.0,0.6102098929986823
