t_start,t_end,residual,err,iter_mean,iter_range,iter_max_index,iter_min_index,iter_std,iter_var,time_to_solution
0.0,0.0625,5.513040554776904e-15,1.3905920676408023e-10,0.0,0,0,0,0.0,0.0,0.030001097999047488
0.0625,0.125,2.489900503869045e-13,1.2840045111202492e-09,2.0,0,0,0,0.0,0.0,0.18234639200090896
0.125,0.1875,4.35875453042588e-13,3.556756816949118e-08,4.0,0,0,0,0.0,0.0,0.30073978699874715
0.1875,0.25,2.784438897353326e-13,3.254660902608671e-07,6.0,0,0,0,0.0,0.0,0.43321728199953213
0.25,0.3125,3.9770095634435474e-13,1.7372543674335617e-06,7.0,0,0,0,0.0,0.0,0.5020379789984872
0.3125,0.375,4.0765005249779794e-13,6.600384366071937e-06,8.0,0,0,0,0.0,0.0,0.49049358000047505
0.375,0.4375,3.34302278518262e-13,1.9850741238601217e-05,9.0,0,0,0,0.0,0.0,0.778177666999909
0.4375,0.5,8.916591992670718e-13,4.9638762785814284e-05,9.0,0,0,0,0.0,0.0,0.7464083689992549
0.5,0.5625,5.520076080144982e-13,0.00010609832839117513,10.0,0,0,0,0.0,0.0,0.6930799709989515
0.5625,0.625,1.1867480966151304e-12,0.000198139831421852,10.0,0,0,0,0.0,0.0,0.7593339680006466
0.625,0.6875,2.3655557146004784e-12,0.0003291219310405943,10.0,0,0,0,0.0,0.0,0.606980074000603
0.6875,0.75,4.431706009436483e-12,0.0004942387571159616,10.0,0,0,0,0.0,0.0,0.5419005559997458
0.75,0.8125,7.883450938087161e-12,0.0006810565293944063,10.0,0,0,0,0.0,0.0,0.5545927309995022
0.8125,0.875,1.342166715777003e-11,0.0008721551147899061,10.0,0,0,0,0.0,0.0,0.695882411000639
0.875,0.9375,2.200593936347654e-11,0.0010475718256246524,10.0,0,0,0,0.0,0.0,0.6349871630009147
0.9375,1.0,3.492072032262587e-11,0.0011867893092965876,10.0,0,0,0,0.0,0.0,0.6440931550005189
