t_start,t_end,residual,err,iter_mean,iter_range,iter_max_index,iter_min_index,iter_std,iter_var,time_to_solution
0.0,0.125,1.3027530958106387e-13,1.2917088599547893e-10,1.0,0,0,0,0.0,0.0,0.20950889699997788
0.125,0.25,6.557426347896819e-13,4.346303671923801e-08,9.0,0,0,0,0.0,0.0,1.4522791809995397
0.25,0.375,2.607629199379141e-12,4.532927199587629e-07,10.0,0,0,0,0.0,0.0,1.6447005780009931
0.375,0.5,1.3680880726495076e-11,1.9091807093254475e-06,10.0,0,0,0,0.0,0.0,1.7982777760007593
0.5,0.625,4.7475827512410287e-11,4.28510789807033e-06,10.0,0,0,0,0.0,0.0,2.586370266000813
0.625,0.75,1.2852858666012608e-10,5.7975982901535964e-06,10.0,0,0,0,0.0,0.0,1.6418066789992736
0.75,0.875,2.948458185984681e-10,5.566638175978583e-06,10.0,0,0,0,0.0,0.0,1.5180015799996909
0.875,1.0,6.008759957758543e-10,4.653090503144663e-06,10.0,0,0,0,0.0,0.0,1.3834574820011767
