t_start,t_end,residual,err,iter_mean,iter_range,iter_max_index,iter_min_index,iter_std,iter_var,time_to_solution
0.0,0.0625,0.002038825958408336,6.680642205130281e-14,1.0,0,0,0,0.0,0.0,0.05724300100155233
0.0625,0.125,0.0020388259584086747,9.82978599718496e-14,1.0,0,0,0,0.0,0.0,0.052303682999991
0.125,0.1875,0.002038825958408821,1.134790397734987e-13,1.0,0,0,0,0.0,0.0,0.04814579200137814
0.1875,0.25,0.002038825958408904,1.2179106767243116e-13,1.0,0,0,0,0.0,0.0,0.049591449000217835
0.25,0.3125,0.002038825958408951,1.261185494666153e-13,1.0,0,0,0,0.0,0.0,0.047800422998989234
0.3125,0.375,0.002038825958408987,1.2816967189909013e-13,1.0,0,0,0,0.0,0.0,0.04953618000035931
0.375,0.4375,0.002038825958409016,1.283152215031665e-13,1.0,0,0,0,0.0,0.0,0.05170167700089223
0.4375,0.5,0.002038825958409035,1.297941617934491e-13,1.0,0,0,0,0.0,0.0,0.05116670300049009
0.5,0.5625,0.0020388259584090697,1.3048847983704434e-13,1.0,0,0,0,0.0,0.0,0.049805083001047024
0.5625,0.625,0.0020388259584090945,1.3191978717843304e-13,1.0,0,0,0,0.0,0.0,0.050162568000814645
0.625,0.6875,0.0020388259584091166,1.318811943875381e-13,1.0,0,0,0,0.0,0.0,0.049441004999607685
0.6875,0.75,0.00203882595840914,1.322073640912694e-13,1.0,0,0,0,0.0,0.0,0.05105952300073113
0.75,0.8125,0.0020388259584091773,1.3277114694992513e-13,1.0,0,0,0,0.0,0.0,0.05096471199976804
0.8125,0.875,0.0020388259584091886,1.3248497446047107e-13,1.0,0,0,0,0.0,0.0,0.05021051599942439
0.875,0.9375,0.0020388259584092003,1.3262663632250967e-13,1.0,0,0,0,0.0,0.0,0.04992467000010947
0.9375,1.0,0.0020388259584092276,1.3370881715599614e-13,1.0,0,0,0,0.0,0.0,0.050866051999037154
