timesteps,final_residual,final_error
4,0.0025092716718360464,0.024638994418060264
8,0.0011504281427855104,0.013527631833035104
16,0.0005476995925849368,0.007031191849208424
32,0.00026679781436222017,0.0035638474922539023
64,0.00013161475086318446,0.0017902697165236593
128,6.535872237800868e-05,0.0008966586656797328
256,3.2566873184979386e-05,0.00044863488884805506
512,1.6255274128052793e-05,0.00022438676732052163
1024,8.120591398211625e-06,0.00011221566214329248
2048,4.058533651958112e-06,5.612608928270802e-05
