t_start,t_end,residual,err,iter_mean,iter_range,iter_max_index,iter_min_index,iter_std,iter_var,time_to_solution
0.0,0.125,5.772068113527336e-10,1.503580319506501e-06,5.0,0,0,0,0.0,0.0,0.648535101005109
0.125,0.25,2.950342648581687e-10,1.5113644945707151e-06,5.0,0,0,0,0.0,0.0,0.5820822669993504
0.25,0.375,5.409523857385712e-10,1.541767212045566e-06,5.0,0,0,0,0.0,0.0,0.6200398319997475
0.375,0.5,7.85967606831312e-10,1.5930255666433031e-06,5.0,0,0,0,0.0,0.0,0.5952421749971109
0.5,0.625,1.0187181446367448e-09,1.6724965255825876e-06,5.0,0,0,0,0.0,0.0,0.5858234799961792
0.625,0.75,1.2355719275420312e-09,1.7928681697213943e-06,5.0,0,0,0,0.0,0.0,0.5725812109958497
0.75,0.875,1.4331450211075575e-09,1.9767559821580234e-06,5.0,0,0,0,0.0,0.0,0.5779936079998151
0.875,1.0,1.608354368192578e-09,2.2673563387078467e-06,5.0,0,0,0,0.0,0.0,0.5744094339970616
