t_start,t_end,residual,err,iter_mean,iter_range,iter_max_index,iter_min_index,iter_std,iter_var,time_to_solution
0.0,0.0625,4.539409243816249e-10,1.5038975619966826e-06,5.0,0,0,0,0.0,0.0,0.5847774379944894
0.0625,0.125,9.58720064764879e-12,1.495940072021877e-06,5.0,0,0,0,0.0,0.0,0.5889652240002761
0.125,0.1875,1.4505564514235654e-11,1.4960220722001774e-06,5.0,0,0,0,0.0,0.0,0.5815521370022907
0.1875,0.25,1.9902212202411698e-11,1.4960572359602897e-06,5.0,0,0,0,0.0,0.0,0.5898451100001694
0.25,0.3125,2.5221295502470552e-11,1.4960966904532128e-06,5.0,0,0,0,0.0,0.0,0.6137447450018954
0.3125,0.375,3.044188890272564e-11,1.496140972203193e-06,5.0,0,0,0,0.0,0.0,0.5937077580019832
0.375,0.4375,3.5543605604611326e-11,1.4961910025826066e-06,5.0,0,0,0,0.0,0.0,0.6040073029944324
0.4375,0.5,4.0506528066027705e-11,1.4962479730007147e-06,5.0,0,0,0,0.0,0.0,0.607323076998
0.5,0.5625,4.53112719867956e-11,1.496313449425455e-06,5.0,0,0,0,0.0,0.0,0.6850120470044203
0.5625,0.625,4.9939075989411455e-11,1.4963895137265967e-06,5.0,0,0,0,0.0,0.0,0.6198437850034679
0.625,0.6875,5.437186993195458e-11,1.4964789771860646e-06,5.0,0,0,0,0.0,0.0,0.6328176370006986
0.6875,0.75,5.859234181290147e-11,1.4965857094562549e-06,5.0,0,0,0,0.0,0.0,0.6634194159996696
0.75,0.8125,6.258401370814719e-11,1.4967151611818125e-06,5.0,0,0,0,0.0,0.0,0.6146388580018538
0.8125,0.875,6.633129340941639e-11,1.4968752183308004e-06,5.0,0,0,0,0.0,0.0,0.6663069970018114
0.875,0.9375,6.981955260290274e-11,1.4970776593174247e-06,5.0,0,0,0,0.0,0.0,0.6445629669979098
0.9375,1.0,7.303516814430898e-11,1.4973407554620596e-06,5.0,0,0,0,0.0,0.0,0.6120430510054575
