t_start,t_end,residual,err,iter_mean,iter_range,iter_max_index,iter_min_index,iter_std,iter_var,time_to_solution
0.0,0.125,9.513658725210976e-17,1.0640329215883461e-13,1.0,0,0,0,0.0,0.0,0.395489403999818
0.125,0.25,8.067895526331208e-17,1.2688027030785326e-13,1.0,0,0,0,0.0,0.0,0.38647715900151525
0.25,0.375,7.742447462443263e-17,1.3162641174494567e-13,1.0,0,0,0,0.0,0.0,0.39764505100174574
0.375,0.5,7.60845271235447e-17,1.3258744426335438e-13,1.0,0,0,0,0.0,0.0,0.39995356099825585
0.5,0.625,7.817412201771794e-17,1.3278190519359078e-13,1.0,0,0,0,0.0,0.0,0.3867563109997718
0.625,0.75,7.904813957625e-17,1.3099609990952272e-13,1.0,0,0,0,0.0,0.0,0.38663570800054003
0.75,0.875,8.073548725870454e-17,1.2959340114618321e-13,1.0,0,0,0,0.0,0.0,0.4028972279993468
0.875,1.0,9.696986636529187e-17,1.240214904739302e-13,1.0,0,0,0,0.0,0.0,0.3906872129991825
