timesteps,final_residual,final_error
4,6.06438509147337e-07,0.00018118815797395785
8,3.3297448594191344e-08,3.5090009143003294e-05
16,1.0942035898551545e-09,2.10384866505085e-06
32,5.52840216586527e-11,1.4977291155854481e-06
64,2.1357600796314374e-12,1.4966427151028044e-06
128,5.221469097177014e-14,1.49662721419881e-06
256,1.3819901419367172e-15,1.4966279935301558e-06
512,1.3600139217686087e-16,1.496628125978454e-06
