timesteps,final_residual,final_error
4,0.002556672691454472,0.050753956519844
8,0.001163179045438044,0.026826131709561
16,0.0005510076789058588,0.013776958663282374
32,0.00026764116306173,0.0069652854479549196
64,0.00013182775186979887,0.00349807449740032
128,6.541225247935516e-05,0.0017522378192480997
256,3.258029133473689e-05,0.0008768231434731051
512,1.6258633160603922e-05,0.0004385758927100247
1024,8.121431720926467e-06,0.00021933031298155712
2048,4.058743803379031e-06,0.00010968190368879716
