timesteps,final_residual,final_error
4,0.00815530383363703,1.2570659201898586e-13
8,0.004077651916818785,1.638643365083251e-13
16,0.0020388259584091933,1.397510511278246e-13
32,0.0010194129792044948,1.0415256377113577e-13
64,0.0005097064896022745,1.1953504447856195e-13
128,0.00025485324480115616,1.3400590132199833e-13
256,0.00012742662240057467,1.2960033770686201e-13
512,6.371331120028863e-05,1.480277118597124e-13
