t_start,t_end,residual,err,iter_mean,iter_range,iter_max_index,iter_min_index,iter_std,iter_var,time_to_solution
0.0,0.125,2.10106612257149e-16,1.1344758725794692e-13,1.0,0,0,0,0.0,0.0,0.13395673700142652
0.125,0.25,3.297946230909286e-16,1.3573615746430446e-13,1.0,0,0,0,0.0,0.0,0.1321803840000939
0.25,0.375,5.147267871293478e-16,1.4255575426730373e-13,1.0,0,0,0,0.0,0.0,0.13236836699798005
0.375,0.5,7.057815381102806e-16,1.4298014909786026e-13,1.0,0,0,0,0.0,0.0,0.13743453300048714
0.5,0.625,8.975922215586366e-16,1.424142315583302e-13,1.0,0,0,0,0.0,0.0,0.12828751000051852
0.625,0.75,1.0882373855551676e-15,1.4207155957624466e-13,1.0,0,0,0,0.0,0.0,0.134232003998477
0.75,0.875,1.2808562159512721e-15,1.4095967500637652e-13,1.0,0,0,0,0.0,0.0,0.1363670010032365
0.875,1.0,1.4772573046647759e-15,1.349399454475875e-13,1.0,0,0,0,0.0,0.0,0.13752391600064584
