t_start,t_end,residual,err,iter_mean,iter_range,iter_max_index,iter_min_index,iter_std,iter_var,time_to_solution
0.0,0.125,5.99617234801771e-08,5.755218770111778e-07,1.0,0,0,0,0.0,0.0,0.07002306100002897
0.125,0.25,3.609295287814078e-08,6.06448913854871e-07,1.0,0,0,0,0.0,0.0,0.05392909700094606
0.25,0.375,3.5622033325749476e-08,6.111771807151798e-07,1.0,0,0,0,0.0,0.0,0.0495836230002169
0.375,0.5,3.554904740781497e-08,6.096751539635617e-07,1.0,0,0,0,0.0,0.0,0.04866057099934551
0.5,0.625,3.553641344826891e-08,6.046486443333705e-07,1.0,0,0,0,0.0,0.0,0.050286087000131374
0.625,0.75,3.553421049668516e-08,5.954465977272856e-07,1.0,0,0,0,0.0,0.0,0.052037496001503314
0.75,0.875,3.553382612490975e-08,5.808473367015303e-07,1.0,0,0,0,0.0,0.0,0.05181360699862125
0.875,1.0,3.553375905346086e-08,5.597870007513543e-07,1.0,0,0,0,0.0,0.0,0.05196269900079642
