timesteps,final_residual,final_error
4,1.6826594309405975e-16,1.283477618498686e-13
8,9.696986636529187e-17,1.240214904739302e-13
16,5.259837248039089e-17,1.2064263533659644e-13
32,2.810118513692469e-17,1.2298010020241366e-13
64,1.3717028957318542e-17,1.2301787814389737e-13
128,6.81055777673183e-18,1.2351433953807322e-13
256,4.1817341257737065e-18,1.2707067347515925e-13
512,2.707496918509151e-18,1.4180788719626593e-13
