timesteps,final_residual,final_error
4,0.002061476054646733,0.007506158371197907
8,0.001034807026396433,0.003588134790663931
16,0.0005183581747405151,0.001749655180039855
32,0.00025940918221968953,0.0008634260208558184
64,0.00012976100901049671,0.00042883069515424043
128,6.489446881188988e-05,0.00021369451359543114
256,3.245070784327665e-05,0.00010667393241160605
512,1.622622006872055e-05,5.330795907302993e-05
1024,8.113326294142915e-06,2.6675062891490336e-05
2048,4.056717177365152e-06,1.339889104232629e-05
