timesteps,final_residual,final_error
4,0.0049232157832935245,9.757545565784583e-05
8,0.002458157241486722,1.7257006286953608e-05
16,0.0012287348065773461,2.7007164769480805e-06
32,0.0006143378177370265,3.894017137352871e-07
64,0.0003071666832352811,5.3383443326242463e-08
128,0.00015358320239991304,7.094878986470266e-09
256,7.679159557009975e-05,9.244406836951445e-10
512,3.83957979575032e-05,1.188342512368517e-10
1024,1.91978990513031e-05,1.5079251695632715e-11
2048,9.598949535907274e-06,1.8430348015335618e-12
