timesteps,final_residual,final_error
4,1.719523794135657e-08,0.00013516401071660478
8,6.008759957758543e-10,4.653090503144663e-06
16,1.7642624759401032e-11,1.4266093856949445e-07
32,4.603738841309519e-13,3.9778740705393335e-09
64,4.5063585114111526e-13,7.747111521550959e-11
128,3.510363651402518e-14,9.564483315644963e-13
256,8.441746818570238e-16,2.326485826256462e-13
