t_start,t_end,residual,err,iter_mean,iter_range,iter_max_index,iter_min_index,iter_std,iter_var,time_to_solution
0.0,0.03125,0.00048046876461211685,7.640030352498383e-05,1.0,0,0,0,0.0,0.0,0.019599237999500474
0.03125,0.0625,0.0004800479092807327,0.0002361341650906578,1.0,0,0,0,0.0,0.0,0.016593039999861503
0.0625,0.09375,0.00047918890414764203,0.00044552779656194117,1.0,0,0,0,0.0,0.0,0.016898811999453756
0.09375,0.125,0.0004778799786755736,0.0006850712636552407,1.0,0,0,0,0.0,0.0,0.015697457999522157
0.125,0.15625,0.0004761150068208296,0.0009435739156090597,1.0,0,0,0,0.0,0.0,0.015981573999852117
0.15625,0.1875,0.00047389136031105323,0.0012147225081807185,1.0,0,0,0,0.0,0.0,0.015247213999828091
0.1875,0.21875,0.0004712086529691081,0.001495073713336626,1.0,0,0,0,0.0,0.0,0.015155557000070985
0.21875,0.25,0.00046806800151912985,0.0017828821261430402,1.0,0,0,0,0.0,0.0,0.021151404999727674
0.25,0.28125,0.000464471589803233,0.0020774165957657903,1.0,0,0,0,0.0,0.0,0.024033224000049813
0.28125,0.3125,0.0004604224111545256,0.002378562486346787,1.0,0,0,0,0.0,0.0,0.016842816000462335
0.3125,0.34375,0.0004559241153078393,0.002686591735202709,1.0,0,0,0,0.0,0.0,0.017989181999837456
0.34375,0.375,0.00045098091657930466,0.0030020317261115073,1.0,0,0,0,0.0,0.0,0.018643213999894215
0.375,0.40625,0.00044559753788464356,0.003325592708585931,1.0,0,0,0,0.0,0.0,0.022078765000514977
0.40625,0.4375,0.0004397791756512925,0.003658130296919719,1.0,0,0,0,0.0,0.0,0.02104796100047679
0.4375,0.46875,0.00043353147684259765,0.004000629440347422,1.0,0,0,0,0.0,0.0,0.01741968399983307
0.46875,0.5,0.0004268605229350621,0.004354202063175612,1.0,0,0,0,0.0,0.0,0.016585803999987547
0.5,0.53125,0.0004197728178191955,0.00472009402282569,1.0,0,0,0,0.0,0.0,0.015628637000190793
0.53125,0.5625,0.0004122752778465023,0.005099699115349807,1.0,0,0,0,0.0,0.0,0.015850656000111485
0.5625,0.59375,0.0004043752229812987,0.0054945791556611796,1.0,0,0,0,0.0,0.0,0.016407759000685473
0.59375,0.625,0.0003960803684490755,0.005906490020873896,1.0,0,0,0,0.0,0.0,0.015504441999837582
0.625,0.65625,0.0003873988165280284,0.00633741418114442,1.0,0,0,0,0.0,0.0,0.01603999599956296
0.65625,0.6875,0.0003783390482806389,0.006789600788677393,1.0,0,0,0,0.0,0.0,0.020515907999651972
0.6875,0.71875,0.0003689099151110612,0.0072656149474264065,1.0,0,0,0,0.0,0.0,0.017234746000212908
0.71875,0.75,0.0003591206300869807,0.0077683984224128436,1.0,0,0,0,0.0,0.0,0.01591925600041577
0.75,0.78125,0.0003489807589965589,0.008301344847951617,1.0,0,0,0,0.0,0.0,0.01642744099990523
0.78125,0.8125,0.0003385002111309992,0.008868393553621968,1.0,0,0,0,0.0,0.0,0.02234111799953098
0.8125,0.84375,0.00032768922979645247,0.009474147573540714,1.0,0,0,0,0.0,0.0,0.027449879000414512
0.84375,0.875,0.00031655838256880063,0.010124023422385884,1.0,0,0,0,0.0,0.0,0.015686196999922686
0.875,0.90625,0.00030511855131345664,0.01082444308520262,1.0,0,0,0,0.0,0.0,0.015008379999926547
0.90625,0.9375,0.0002933809220014334,0.011583082798452613,1.0,0,0,0,0.0,0.0,0.015140711999265477
0.9375,0.96875,0.0002813569743641596,0.012409199256638824,1.0,0,0,0,0.0,0.0,0.015509552999901643
0.96875,1.0,0.0002690584714447815,0.013314062918427903,1.0,0,0,0,0.0,0.0,0.018872511999688868
